City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
488,Cauquenes,CL,82.04,clear sky,-35.9671,-72.3225,Viña Don Heraldo
500,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
502,General Roca,AR,80.35,broken clouds,-39.0333,-67.5833,Hotel El Recreo
511,Vila Velha,BR,84.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
518,Biltine,TD,88.84,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
529,Bandundu,CD,75.74,light rain,-3.3167,17.3667,Coja Color
537,Pital,CO,81.99,scattered clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
539,Hobyo,SO,82.11,clear sky,5.3505,48.5268,Iftin hotel hobyo
543,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
545,Alvaraes,BR,82.27,heavy intensity rain,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
548,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
550,Kloulklubed,PW,81.84,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
552,Sao Joao Da Barra,BR,80.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
553,Itarema,BR,80.47,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
554,Hit,IQ,75.13,clear sky,33.6416,42.8251,بيت ابو رباح
555,Juruti,BR,83.08,broken clouds,-2.1522,-56.0922,Pousada Marupiara
559,La Asuncion,VE,80.73,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
562,Boueni,YT,78.78,scattered clouds,-12.9025,45.0761,The feet in water
564,Huarmey,PE,75.02,overcast clouds,-10.0681,-78.1522,Hotel Miramar
565,Santo Antonio Do Ica,BR,88.56,scattered clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
566,Sokoni,TZ,82.67,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
567,Betare Oya,CM,82.42,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
572,Lorengau,PG,80.38,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
579,Adjumani,UG,79.77,broken clouds,3.3779,31.7909,Hotel Zawadi
580,Carutapera,BR,75.06,overcast clouds,-1.195,-46.02,Lidera
585,Sur,OM,83.26,clear sky,22.5667,59.5289,Sur Plaza Hotel
590,Kindu,CD,75.25,overcast clouds,-2.95,25.95,Résidence Okanda
593,Gambela,ET,89.28,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
594,Iranshahr,IR,75.54,clear sky,27.2025,60.6848,نیک سرشت
596,Big Spring,US,78.24,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
599,Ilesha,NG,80.64,overcast clouds,7.1371,5.2583,Tosap Guest House
603,Pozo Colorado,PY,78.12,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
605,Itapaci,BR,84.06,scattered clouds,-14.9508,-49.5494,Gold Pallace Hotel
607,Tahoua,NE,87.78,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
609,Nouakchott,MR,76.93,clear sky,18.0858,-15.9785,HOTEL IMAN
612,Gombe,NG,89.35,overcast clouds,10.2897,11.1673,Custodian Hotel Gombe
619,Morondava,MG,80.56,light rain,-20.2833,44.2833,La Case Bambou
621,Cienfuegos,CU,86.14,few clouds,22.1461,-80.4356,Casa Claumar B2BPay
625,Sao Mateus Do Maranhao,BR,80.08,broken clouds,-4.0417,-44.475,Pousada Pingo De Ouro
629,Diego De Almagro,CL,81.09,clear sky,-26.3667,-70.05,hotel luna del desierto
630,Marang,MY,78.71,broken clouds,5.2056,103.2059,DBarakah Homestay
636,Tomatlan,MX,84.54,scattered clouds,19.9333,-105.25,El Salvial
639,Bosaso,SO,80.35,few clouds,11.2842,49.1816,Red Sea Hotel
644,Cabatuan,PH,75.97,broken clouds,10.8794,122.486,MVC Transient Room
646,Nuevo Progreso,MX,83.89,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
656,Jawhar,SO,80.15,clear sky,2.7809,45.5005,hantiwadaag village part one
658,Mabaruma,GY,83.05,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
659,Porbandar,IN,78.67,clear sky,21.6422,69.6093,Lords Inn Porbandar
660,Jacareacanga,BR,83.73,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
675,Luanda,AO,79.11,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
676,Wajir,KE,85.17,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
680,Le Port,RE,77.0,moderate rain,-20.9373,55.2919,KORBEY D'OR OUEST
682,Tabou,CI,80.8,light rain,4.423,-7.3528,hotêl doufoulougou
684,Canala,NC,78.67,overcast clouds,-21.5333,165.95,Table d’hôte chez Betty
686,Pratapgarh,IN,83.57,clear sky,24.0333,74.7833,Ratna Hotel
687,Wilmington,US,76.98,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
689,Guiberoua,CI,77.47,overcast clouds,6.2392,-6.1727,HOTEL LAGOTCHÉ
692,Itapipoca,BR,76.1,overcast clouds,-3.4944,-39.5786,Hotel Pilotos
