City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
323,Rock Sound,BS,24.9,-76.2,77.22,83,2,12.8,clear sky
324,Tari,NG,12.4086,4.4914,91.17,9,3,5.17,clear sky
325,Tikrit,IQ,34.6071,43.6782,73.81,19,0,9.01,clear sky
326,Bathsheba,BB,13.2167,-59.5167,84.81,58,20,20.71,few clouds
327,Masallatah,LY,32.6167,14.0,62.96,50,0,1.19,clear sky
328,Port Hedland,AU,-20.3167,118.5667,78.85,89,12,5.75,few clouds
329,Carnot,CF,4.9409,15.8665,73.09,86,100,3.98,overcast clouds
330,Miraflores,MX,19.2167,-98.8083,82.02,14,91,7.58,overcast clouds
331,Omaruru,NA,-21.4333,15.9333,77.02,49,95,9.71,overcast clouds
332,Beinamar,TD,8.6698,15.3813,89.26,13,95,4.36,overcast clouds
333,Prabumulih,ID,-3.45,104.25,74.23,98,100,2.8,light rain
334,Dapaong,TG,10.8639,0.205,97.18,21,97,3.42,overcast clouds
335,Coihueco,CL,-36.6167,-71.8333,77.74,24,0,13.8,clear sky
336,Narsaq,GL,60.9167,-46.05,50.22,57,65,9.73,broken clouds
337,Mae Sai,TH,20.4335,99.8762,71.11,90,40,2.35,scattered clouds
338,Calamar,CO,10.2511,-74.9146,97.75,33,100,8.28,overcast clouds
339,Salalah,OM,17.0151,54.0924,80.69,69,0,2.3,clear sky
340,Oltenita,RO,44.0833,26.6333,57.09,85,100,8.32,overcast clouds
341,Alyangula,AU,-13.8483,136.4192,80.73,62,100,2.71,overcast clouds
342,Bereda,ES,43.2686,-7.5406,40.57,85,12,3.09,few clouds
343,Port Hardy,CA,50.6996,-127.4199,44.78,87,75,5.75,light intensity shower rain
344,Bengkulu,ID,-3.8004,102.2655,76.5,84,14,4.45,few clouds
345,Juegang,CN,32.3174,121.1855,45.91,68,100,4.81,overcast clouds
346,Flagstaff,US,35.1981,-111.6513,64.09,30,0,8.05,clear sky
347,Denham Springs,US,30.4869,-90.9562,76.95,40,0,3.44,clear sky
